reg_no,name,year,email,degree
UWU/IIT/18/024,Sithumi,3,sithumi@gmail.com,IIT
UWU/CST/18/004,Gihani,3,gihani@gmail.com,CST
UWU/MRT/20/019,Mayumi,1,mayumi@gmail.com,MRT
UWU/SCT/18/027,Neesha,3,neesha@gmail.com,SCT
UWU/ENM/20/039,Piyumi,1,piyumi@gmail.com,ENM
UWU/HTE/20/059,Nipuni,1,nipuni@gmail.com,THE
UWU/EAG/18/023,Ishara,3,ishara@gmail.com,EAG
UWU/TEA/18/045,Roja,3,roja@gmail.com,TEA
UWU/PLT/20/021,Fathima,1,fathima@gmail.com,PLT
UWU/AQT/18/024,Nisansala,3,nisansala@gmail.com,AQT
UWU/ANS/20/005,Dimali,1,dimali@gmail.com,ANS
UWU/ET/18/017,Sanjana,3,sanjana@gmail.com,ET
UWU/BBST/18/062,Dilmi,3,dilmi@gmail.com,BBST
